,FieldName,DataType,Min,Max,Mean,StdDev,Median,Mode,NumValues,NumNulls,NumUnique,AutoCorr,FFT,Distrib
air_pressure_release.1,air_pressure_release.1,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
latitude.1,latitude.1,float64,34.7422,34.752,34.74657595238095,0.0024946563985154867,34.746,34.7448,421,1,51,0.9969064451121289,inf,{}
latitude_qc.1,latitude_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
latitude_detail_qc.1,latitude_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
latitude_release.1,latitude_release.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
longitude.1,longitude.1,float64,-72.2892,-72.2799,-72.28317595238096,0.0025508139554718976,-72.2828,-72.2841,421,1,48,0.9976066497497889,inf,{}
longitude_qc.1,longitude_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
longitude_detail_qc.1,longitude_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
longitude_release.1,longitude_release.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
wind_speed.2,wind_speed.2,float64,2.9,15.2,7.970238095238095,2.6817859863954308,8.2,9.4,421,1,99,0.9814153825709052,inf,{}
wind_speed_qc.2,wind_speed_qc.2,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
wind_speed_detail_qc.2,wind_speed_detail_qc.2,object,b'0',b'f',NA,NA,NA,b'0',421,0,3,NA,NA,"{'0': 0.9857482185273159, 'f': 0.011876484560570071, '_': 0.0023752969121140144}"
wind_speed_release.2,wind_speed_release.2,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
wind_direction.2,wind_direction.2,float64,5.0,343.0,203.47857142857143,58.71302334342995,213.0,208.0,421,1,136,0.9566141683845789,inf,{}
wind_direction_qc.2,wind_direction_qc.2,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
wind_direction_detail_qc.2,wind_direction_detail_qc.2,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
wind_direction_release.2,wind_direction_release.2,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
wind_gust.2,wind_gust.2,float64,4.2,20.1,10.396666666666668,3.251830889950111,10.45,8.0,421,1,119,0.9702996822919262,inf,{}
wind_gust_qc.2,wind_gust_qc.2,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
wind_gust_detail_qc.2,wind_gust_detail_qc.2,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
wind_gust_release.2,wind_gust_release.2,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
max_1_minute_wind_speed.2,max_1_minute_wind_speed.2,int64,0,0,0.0,0.0,0.0,0,421,0,1,,inf,{0: 1.0}
max_1_minute_wind_speed_qc.2,max_1_minute_wind_speed_qc.2,int64,0,0,0.0,0.0,0.0,0,421,0,1,,inf,{0: 1.0}
max_1_minute_wind_speed_detail_qc.2,max_1_minute_wind_speed_detail_qc.2,int64,0,0,0.0,0.0,0.0,0,421,0,1,,inf,{0: 1.0}
max_1_minute_wind_speed_release.2,max_1_minute_wind_speed_release.2,int64,-9,0,-8.978622327790974,0.4386331609457214,-9.0,-9,421,0,2,,inf,"{-9: 0.997624703087886, 0: 0.0023752969121140144}"
air_pressure_at_sea_level.2,air_pressure_at_sea_level.2,float64,100871.0,102721.0,101974.83095238096,487.70760097787763,101871.0,102531.0,421,1,128,0.9994135164561372,inf,{}
air_pressure_at_sea_level_qc.2,air_pressure_at_sea_level_qc.2,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
air_pressure_at_sea_level_detail_qc.2,air_pressure_at_sea_level_detail_qc.2,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
air_pressure_at_sea_level_release.2,air_pressure_at_sea_level_release.2,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
